dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16
2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40
2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32
2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13
2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1
2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1
2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2
2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3
2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8
2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14
2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36
2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56
2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84
2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94
2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106
2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110
2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93
2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67
2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35
2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37
2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36
2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34
2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28
2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39
2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17
2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17
2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9
2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6
2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3
2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1
2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8
2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20
2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53
2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70
2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93
2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59
2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
