index,Ganancia bruta,Ganancia (pérdida),Ingresos de actividades ordinarias,Costo de ventas,Patrimonio total,Total pasivos,Total de activos,Ganancias acumuladas,Pasivos corrientes totales,Activos corrientes totales,Sector,event
7620,321824.6666666667,1322028.0,321824.6666666667,,9147742.666666666,97298.0,9245040.666666666,2610498.0,97298.0,3207644.0,L,0.0
17602,166560.0,-160393.0,166560.0,,359433.0,64899.0,424332.0,-160393.0,64899.0,193787.0,G,0.0
18421,2387397.0,380574.0,3686907.0,1299510.0,2421259.0,2945965.0,5367224.0,461980.0,1615549.0,3364490.0,J,0.0
779,5214416.0,72283.0,66107571.0,60893155.0,5015903.0,24822537.0,29838440.0,4415903.0,22613660.0,22996533.0,G,1.0
6936,227198.0,725487.6666666666,227198.0,,8062667.333333333,2770851.6666666665,10833519.0,4585023.0,33074.666666666664,257324.0,L,0.0
11262,165493.0,27582.0,1829136.0,1663643.0,310988.0,1127747.0,1438735.0,211242.0,1127747.0,1438735.0,G,0.0
15880,609593.0,333300.0,2199485.0,1589892.0,962705.0,639817.0,1602522.0,805205.0,181398.0,1383162.0,G,0.0
1833,1941207.0,-86962.66666666667,2285990.6666666665,517175.5,9844176.666666666,25740626.0,35584802.666666664,6590127.333333333,7808506.0,21907981.0,L,0.0
10506,12265351.0,404265.0,20940893.0,8675542.0,1860412.5,8158097.0,10018509.5,867469.5,7959845.5,8294873.5,G,0.0
8097,1045343.3333333334,-139524.0,2075963.3333333333,1030620.0,10865202.333333334,15140132.666666666,26005335.0,6052729.0,2123942.0,1233927.3333333333,K,0.0
2005,12894288.666666666,2629409.0,39829437.0,26935148.33333333,6740561.333333333,12005758.0,18746319.33333333,3952559.6666666665,11402596.333333334,18379689.33333333,H,0.0
19942,0.0,-214618.0,0.0,0.0,-148618.0,6368098.0,6219480.0,-214618.0,82880.0,6183328.0,F,0.0
3646,4200807.0,1085271.6666666667,9951208.0,5750401.0,6880499.333333333,612390.6666666666,7492890.0,6732290.333333333,612390.6666666666,3937469.0,F,0.0
17048,804280.0,174210.0,3764246.0,2959966.0,1164778.0,1627007.0,2791785.0,894410.0,1624903.0,2339176.0,G,0.0
136,16771861.0,2899904.333333333,20416888.33333333,3645027.3333333335,12772509.666666666,7242633.666666667,20015143.33333333,8268867.666666667,2734070.333333333,4452325.333333333,C,0.0
18644,2952628.0,1920199.0,3322798.0,370170.0,5049908.0,2503316.0,7553224.0,4176236.0,2166687.0,1516006.0,I,0.0
3251,6175993.333333333,286398.3333333333,40345317.0,34169323.666666664,766766.3333333334,1435974.6666666667,2202741.0,616766.3333333334,1333143.0,1652027.3333333333,G,0.0
19278,19910814.0,3081582.0,36392102.0,16481288.0,5120417.0,12499271.0,17619688.0,1838835.0,9665969.0,14807778.0,Q,0.0
15115,49993.5,-1460954.0,49993.5,,7979795.5,151744.0,8131539.5,-2483511.0,208195.0,1401014.5,N,0.0
6856,5839054.666666667,936991.0,21874197.33333333,16035142.666666666,4889767.333333333,13708786.333333334,18598553.666666668,680649.3333333334,7213794.0,10297086.333333334,I,0.0
14993,1199593.5,83306.5,3865880.5,2666287.0,715825.5,2106991.5,2822817.0,139861.0,928879.0,1156678.5,A,0.0
15748,532390.0,-936011.0,1786938.0,1254548.0,2066846.0,3489726.0,5556572.0,765388.0,3364387.0,2437705.0,B,0.0
13211,0.0,425.3333333333333,0.0,0.0,33090.666666666664,16238582.0,16271672.666666666,3090.6666666666665,458263.6666666667,2739431.333333333,M,0.0
6424,699220.6666666666,107907.66666666669,1053365.6666666667,354145.0,5975459.0,3103272.6666666665,9078731.666666666,2251880.0,1449751.6666666667,2359011.0,F,0.0
